ID,ECLO
ACCIDENT_39609,3.945288
ACCIDENT_39610,3.5268366
ACCIDENT_39611,5.07619
ACCIDENT_39612,4.358796
ACCIDENT_39613,4.7413263
ACCIDENT_39614,4.3228617
ACCIDENT_39615,4.3652263
ACCIDENT_39616,3.6599815
ACCIDENT_39617,4.263852
ACCIDENT_39618,4.63178
ACCIDENT_39619,4.3454657
ACCIDENT_39620,3.3074899
ACCIDENT_39621,4.104173
ACCIDENT_39622,3.39286
ACCIDENT_39623,3.1703067
ACCIDENT_39624,4.2347093
ACCIDENT_39625,4.740223
ACCIDENT_39626,4.452341
ACCIDENT_39627,4.361418
ACCIDENT_39628,4.6502447
ACCIDENT_39629,3.4313617
ACCIDENT_39630,3.1878884
ACCIDENT_39631,4.1988435
ACCIDENT_39632,4.2745304
ACCIDENT_39633,4.3414726
ACCIDENT_39634,4.62177
ACCIDENT_39635,4.363775
ACCIDENT_39636,4.6963377
ACCIDENT_39637,3.4291427
ACCIDENT_39638,4.442407
ACCIDENT_39639,4.670962
ACCIDENT_39640,4.276439
ACCIDENT_39641,4.647362
ACCIDENT_39642,3.2660847
ACCIDENT_39643,4.3773384
ACCIDENT_39644,3.1860151
ACCIDENT_39645,3.2228987
ACCIDENT_39646,4.556803
ACCIDENT_39647,4.5947676
ACCIDENT_39648,5.0311575
ACCIDENT_39649,3.2002943
ACCIDENT_39650,3.5598698
ACCIDENT_39651,3.7136588
ACCIDENT_39652,4.472892
ACCIDENT_39653,3.8259938
ACCIDENT_39654,3.4855115
ACCIDENT_39655,3.9509227
ACCIDENT_39656,3.5693169
ACCIDENT_39657,4.1857734
ACCIDENT_39658,4.174725
ACCIDENT_39659,3.8015811
ACCIDENT_39660,4.3436327
ACCIDENT_39661,3.9902945
ACCIDENT_39662,4.130758
ACCIDENT_39663,4.141985
ACCIDENT_39664,3.844443
ACCIDENT_39665,4.0748577
ACCIDENT_39666,3.4018164
ACCIDENT_39667,4.0064144
ACCIDENT_39668,3.3366215
ACCIDENT_39669,3.4337687
ACCIDENT_39670,4.021839
ACCIDENT_39671,4.3404837
ACCIDENT_39672,4.0387053
ACCIDENT_39673,3.2630324
ACCIDENT_39674,4.4877887
ACCIDENT_39675,3.978482
ACCIDENT_39676,4.291265
ACCIDENT_39677,3.556296
ACCIDENT_39678,3.8313198
ACCIDENT_39679,4.200419
ACCIDENT_39680,4.323364
ACCIDENT_39681,3.651559
ACCIDENT_39682,4.168887
ACCIDENT_39683,3.7498786
ACCIDENT_39684,3.4974422
ACCIDENT_39685,4.3787413
ACCIDENT_39686,4.282009
ACCIDENT_39687,4.3711576
ACCIDENT_39688,3.1798282
ACCIDENT_39689,4.365478
ACCIDENT_39690,4.1282086
ACCIDENT_39691,3.8987768
ACCIDENT_39692,4.0907435
ACCIDENT_39693,3.6660738
ACCIDENT_39694,4.347976
ACCIDENT_39695,4.058017
ACCIDENT_39696,4.4714103
ACCIDENT_39697,4.0075717
ACCIDENT_39698,4.211399
ACCIDENT_39699,3.9115448
ACCIDENT_39700,4.260223
ACCIDENT_39701,4.2931004
ACCIDENT_39702,4.213833
ACCIDENT_39703,4.3140073
ACCIDENT_39704,4.046742
ACCIDENT_39705,4.2265983
ACCIDENT_39706,3.4532845
ACCIDENT_39707,4.404865
ACCIDENT_39708,4.20442
ACCIDENT_39709,4.2349763
ACCIDENT_39710,3.7397113
ACCIDENT_39711,3.8455439
ACCIDENT_39712,3.9483273
ACCIDENT_39713,4.0495195
ACCIDENT_39714,4.2988725
ACCIDENT_39715,4.688188
ACCIDENT_39716,4.2959085
ACCIDENT_39717,4.3718915
ACCIDENT_39718,4.0835996
ACCIDENT_39719,3.9921622
ACCIDENT_39720,3.9701781
ACCIDENT_39721,4.1730757
ACCIDENT_39722,4.0697923
ACCIDENT_39723,4.08656
ACCIDENT_39724,4.099524
ACCIDENT_39725,4.1503654
ACCIDENT_39726,4.204734
ACCIDENT_39727,3.331958
ACCIDENT_39728,3.9747052
ACCIDENT_39729,4.2578135
ACCIDENT_39730,4.1427855
ACCIDENT_39731,4.1268454
ACCIDENT_39732,3.7466674
ACCIDENT_39733,3.9598854
ACCIDENT_39734,3.4500334
ACCIDENT_39735,4.3854046
ACCIDENT_39736,4.5163794
ACCIDENT_39737,3.3326628
ACCIDENT_39738,4.0613737
ACCIDENT_39739,4.1415825
ACCIDENT_39740,4.021779
ACCIDENT_39741,3.581045
ACCIDENT_39742,3.90798
ACCIDENT_39743,3.9674442
ACCIDENT_39744,4.042854
ACCIDENT_39745,4.02084
ACCIDENT_39746,3.2482986
ACCIDENT_39747,3.9094863
ACCIDENT_39748,4.1888804
ACCIDENT_39749,2.9765074
ACCIDENT_39750,3.9754872
ACCIDENT_39751,3.5195882
ACCIDENT_39752,4.2109785
ACCIDENT_39753,4.0445223
ACCIDENT_39754,4.0690165
ACCIDENT_39755,3.5240211
ACCIDENT_39756,3.9645529
ACCIDENT_39757,4.20413
ACCIDENT_39758,4.18704
ACCIDENT_39759,3.4523847
ACCIDENT_39760,3.9971457
ACCIDENT_39761,3.9537044
ACCIDENT_39762,4.1461024
ACCIDENT_39763,4.267016
ACCIDENT_39764,3.817301
ACCIDENT_39765,4.262603
ACCIDENT_39766,3.560154
ACCIDENT_39767,3.410528
ACCIDENT_39768,3.5629175
ACCIDENT_39769,3.994784
ACCIDENT_39770,3.9907339
ACCIDENT_39771,3.9902964
ACCIDENT_39772,3.9711642
ACCIDENT_39773,3.9791288
ACCIDENT_39774,3.9527025
ACCIDENT_39775,3.3332365
ACCIDENT_39776,2.9608529
ACCIDENT_39777,4.1888947
ACCIDENT_39778,3.9507694
ACCIDENT_39779,4.127117
ACCIDENT_39780,4.0864434
ACCIDENT_39781,3.8443475
ACCIDENT_39782,4.049367
ACCIDENT_39783,4.171484
ACCIDENT_39784,5.9593263
ACCIDENT_39785,4.106195
ACCIDENT_39786,3.2866085
ACCIDENT_39787,4.495909
ACCIDENT_39788,3.4315333
ACCIDENT_39789,4.0720124
ACCIDENT_39790,4.017993
ACCIDENT_39791,3.635438
ACCIDENT_39792,3.5977557
ACCIDENT_39793,4.328039
ACCIDENT_39794,3.6707587
ACCIDENT_39795,4.512753
ACCIDENT_39796,3.6342669
ACCIDENT_39797,4.5660768
ACCIDENT_39798,4.446147
ACCIDENT_39799,4.244903
ACCIDENT_39800,4.2682476
ACCIDENT_39801,4.299316
ACCIDENT_39802,4.3419414
ACCIDENT_39803,4.371124
ACCIDENT_39804,4.2870855
ACCIDENT_39805,3.2694683
ACCIDENT_39806,4.4945526
ACCIDENT_39807,4.9662786
ACCIDENT_39808,4.500083
ACCIDENT_39809,4.3814526
ACCIDENT_39810,3.2649264
ACCIDENT_39811,3.901613
ACCIDENT_39812,4.213434
ACCIDENT_39813,3.9858265
ACCIDENT_39814,3.65922
ACCIDENT_39815,4.4811373
ACCIDENT_39816,4.685647
ACCIDENT_39817,4.3023515
ACCIDENT_39818,4.627126
ACCIDENT_39819,4.880314
ACCIDENT_39820,4.8285856
ACCIDENT_39821,4.4868584
ACCIDENT_39822,5.713068
ACCIDENT_39823,4.2730255
ACCIDENT_39824,4.8080964
ACCIDENT_39825,4.1979074
ACCIDENT_39826,4.2722783
ACCIDENT_39827,4.443154
ACCIDENT_39828,4.44836
ACCIDENT_39829,4.5230947
ACCIDENT_39830,4.7302375
ACCIDENT_39831,4.929408
ACCIDENT_39832,4.728109
ACCIDENT_39833,4.922058
ACCIDENT_39834,4.8531365
ACCIDENT_39835,3.3909502
ACCIDENT_39836,4.614875
ACCIDENT_39837,4.3158994
ACCIDENT_39838,4.6176333
ACCIDENT_39839,4.758072
ACCIDENT_39840,4.787909
ACCIDENT_39841,4.8555775
ACCIDENT_39842,3.9328065
ACCIDENT_39843,4.1214294
ACCIDENT_39844,4.1536813
ACCIDENT_39845,4.363776
ACCIDENT_39846,4.0759816
ACCIDENT_39847,4.2111278
ACCIDENT_39848,4.370053
ACCIDENT_39849,4.010983
ACCIDENT_39850,3.3582911
ACCIDENT_39851,4.25784
ACCIDENT_39852,4.013494
ACCIDENT_39853,3.3461576
ACCIDENT_39854,4.0403523
ACCIDENT_39855,4.446002
ACCIDENT_39856,4.065059
ACCIDENT_39857,4.1242166
ACCIDENT_39858,4.289457
ACCIDENT_39859,4.2597947
ACCIDENT_39860,4.2275467
ACCIDENT_39861,3.3298445
ACCIDENT_39862,4.1847095
ACCIDENT_39863,3.7173133
ACCIDENT_39864,3.1733491
ACCIDENT_39865,3.875218
ACCIDENT_39866,4.357192
ACCIDENT_39867,4.3472495
ACCIDENT_39868,4.3838744
ACCIDENT_39869,4.4250593
ACCIDENT_39870,4.1242003
ACCIDENT_39871,4.5331182
ACCIDENT_39872,4.284947
ACCIDENT_39873,4.078311
ACCIDENT_39874,4.018543
ACCIDENT_39875,4.7682123
ACCIDENT_39876,4.31486
ACCIDENT_39877,4.0450397
ACCIDENT_39878,3.9637704
ACCIDENT_39879,4.2249036
ACCIDENT_39880,2.9851265
ACCIDENT_39881,3.6756597
ACCIDENT_39882,4.1411037
ACCIDENT_39883,4.1237254
ACCIDENT_39884,4.271886
ACCIDENT_39885,4.2283626
ACCIDENT_39886,3.937225
ACCIDENT_39887,3.724834
ACCIDENT_39888,4.0420246
ACCIDENT_39889,3.3881578
ACCIDENT_39890,4.391409
ACCIDENT_39891,4.2933264
ACCIDENT_39892,3.8705533
ACCIDENT_39893,4.1361823
ACCIDENT_39894,3.4167323
ACCIDENT_39895,4.333609
ACCIDENT_39896,4.299424
ACCIDENT_39897,4.212177
ACCIDENT_39898,3.4442058
ACCIDENT_39899,4.342423
ACCIDENT_39900,4.302889
ACCIDENT_39901,4.6921883
ACCIDENT_39902,3.399168
ACCIDENT_39903,4.2715793
ACCIDENT_39904,3.5654318
ACCIDENT_39905,4.988173
